token,labels
blunt,['O']
##ed,['O']
arrows,['O']
",",['O']
called,['O']
flower,['O']
arrows,['O']
or,['O']
he,['O']
##per,['O']
a,['O']
##y,['O']
",",['O']
were,['O']
released,['O']
at,['O']
the,['O']
beginning,['O']
of,['O']
the,['O']
bear,['O']
ceremony,['O']
.,['O']
these,['O']
beautifully,['O']
decorated,['O']
arrows,['O']
were,['O']
believed,['O']
to,['O']
be,['O']
cher,['O']
##ished,['O']
by,['O']
the,['O']
bear,['O']
spirit,['O']
and,['O']
were,['O']
one,['O']
of,['O']
the,['O']
many,['O']
gifts,['O']
given,['O']
to,['O']
him,['O']
during,['O']
the,['O']
ceremony,['O']
.,['O']
